,ENSG,gini_comp,perc_var_comp,wp_comp_ccd
0,ENSG00000167065,0.5254771569761496,0.933913236283964,True
1,ENSG00000071889,0.2769118392014808,0.37735499473474204,True
2,ENSG00000123607,0.32480829249190774,0.3747457629556515,True
3,ENSG00000136193,0.19938281688133852,0.1387598791377439,False
4,ENSG00000156970,0.2569228229163346,0.5245961489436015,True
5,ENSG00000173599,0.17886757137142167,0.32474418330021415,True
6,ENSG00000068489,0.2741420845041763,0.4483620251992369,True
7,ENSG00000137807,0.35059789764985944,0.683703459864725,True
8,ENSG00000132530,0.21215369625346356,0.33794767627191197,True
9,ENSG00000161800,0.2920211990832954,0.6553250798107579,True
10,ENSG00000146670,0.3777491883784095,0.75411361401647,True
11,ENSG00000054654,0.24623675376641252,0.39923280949761436,True
12,ENSG00000138160,0.24069109685623877,0.38790398460301073,True
13,ENSG00000221932,0.1820650226578618,0.24380117811246313,True
14,ENSG00000119705,0.22350636479608482,0.22884209915798517,False
15,ENSG00000221944,0.19445277505866457,0.3749553595847453,True
16,ENSG00000169740,0.20692877897287817,0.26278037306290697,True
17,ENSG00000151702,0.37681185348723306,0.7192890065077225,True
18,ENSG00000119705,0.2550500829588883,0.27044214805808603,True
19,ENSG00000088325,0.4009998011063077,0.7830224819240293,True
20,ENSG00000132768,0.2242179027089358,0.5441264843908051,True
21,ENSG00000011426,0.3094477811279308,0.7752558074119877,True
22,ENSG00000053372,0.2361495755743529,0.38190709430982056,True
23,ENSG00000135248,0.4237159861488238,0.20477938156412895,False
24,ENSG00000126787,0.21711802517199788,0.3311028161454078,True
25,ENSG00000135249,0.19618998203110585,0.35806361317029917,True
26,ENSG00000174788,0.23892148901304164,0.4458989900039308,True
27,ENSG00000131061,0.2105826729858312,0.5334498277602949,True
28,ENSG00000167685,0.1846201142166059,0.14637760102062783,False
29,ENSG00000162999,0.322550628513284,0.3914056995657377,False
30,ENSG00000092931,0.2271213069811543,0.3904054653657773,True
31,ENSG00000104679,0.23990972167629593,0.18949028594563513,False
32,ENSG00000177853,0.22732752277495144,0.4637369383553027,True
33,ENSG00000065328,0.20209898615980187,0.3053035138190734,True
34,ENSG00000091651,0.26989946864405845,0.5078893436678776,True
35,ENSG00000134057,0.3325234951586262,0.6024995990038804,True
36,ENSG00000167065,0.5187576259165023,0.926176735924513,True
37,ENSG00000039319,0.2391367593411812,0.23365386077982725,False
