well_plate,Antibody,ENSG,,,,,,,,
A01_55185977,HPA000390,ENSG00000158321,,,,,,,,
A01_55195978,HPA008410,ENSG00000136108,,,,,,,,
A01_55215982,HPA036299,ENSG00000138347,,,,,,,,
A01_55225983,HPA039973,ENSG00000111605,,,,,,,,
A01_55235979,HPA019515,ENSG00000106012,,,,,,,,
A01_55245981,HPA030098,ENSG00000168159,,,,,,,,
A01_55365987,HPA055027,ENSG00000214212,,,,,,,,
A01_55375988,HPA058547,ENSG00000166347,,,,,,,,
A01_55395990,HPA067652,ENSG00000180822,,,,,,,,
A01_55405991,HPA000453,ENSG00000128422,,,,,,,,
A01_6717,HPA001803,ENSG00000088305,,,,,,,,
A01_6718,HPA002531,ENSG00000140968,,,,,,,,
A01_6719,HPA001399,ENSG00000196839,,,,,,,,
A01_6720,HPA001141,ENSG00000128274,,,,,,,,
A01_6721,HPA001169,ENSG00000093010,,,,,,,,
A01_6722,HPA000553,ENSG00000089472,,,,,,,,
A01_6724,HPA001081,ENSG00000067177,,,,,,,,
A01_6725,HPA000546,ENSG00000144724,,,,,,,,
A01_6731,HPA000937,ENSG00000107165,,,,,,,,
A01_6734,HPA000248,ENSG00000147383,,,,,,,,
A01_6735,HPA005857,ENSG00000165140,,,,,,,,
A01_6736,HPA015791,ENSG00000101115,,,,,,,,
A01_6745,HPA038461,ENSG00000062485,,,,,,,,
A02_55185977,HPA000843,ENSG00000189060,,,,,,,,
A02_55205980,HPA026518,ENSG00000118292,,,,,,,,
A02_55225983,HPA040255,ENSG00000138614,,,,,,,,
A02_55235979,HPA020066,ENSG00000163644,,,,,,,,
A02_55245981,HPA030292,ENSG00000111912,,,,,,,,
A02_55335984,HPA043054,ENSG00000100744,,,,,,,,
A02_55345985,HPA047238,ENSG00000171421,,,,,,,,
A02_55355986,HPA051349,ENSG00000167065,,,,,,,,
A02_55365987,HPA055357,ENSG00000165156,,,,,,,,
A02_55375988,HPA058899,ENSG00000213638,,,,,,,,
A02_55385989,HPA063217,ENSG00000105372,,,,,,,,
A02_55405991,HPA014865,ENSG00000177311,,,,,,,,
A02_6717,HPA013611,ENSG00000090530,,,,,,,,
A02_6718,HPA018993,ENSG00000140374,,,,,,,,
A02_6719,HPA021176,ENSG00000171097,,,,,,,,
A02_6720,HPA020065,ENSG00000166016,,,,,,,,
A02_6721,HPA013431,ENSG00000138772,,,,,,,,
A02_6722,HPA007330,ENSG00000168067,,,,,,,,
A02_6724,HPA016908,ENSG00000114670,,,,,,,,
A02_6725,HPA014662,ENSG00000177542,,,,,,,,
A02_6731,HPA007922,ENSG00000159202,,,,,,,,
A02_6734,HPA001216,ENSG00000145675,,,,,,,,
A02_6735,HPA006456,ENSG00000106992,,,,,,,,
A02_6736,HPA016845,ENSG00000076201,,,,,,,,
A02_6745,HPA041404,ENSG00000167508,,,,,,,,
A02_75846286,HPA054807,ENSG00000189221,,,,,,,,
A03_55185977,HPA001374,ENSG00000147231,,,,,,,,
A03_55195978,HPA010775,ENSG00000143217,,,,,,,,
A03_55205980,HPA026954,ENSG00000179104,,,,,,,,
A03_55235979,HPA020461,ENSG00000197776,,,,,,,,
A03_55345985,HPA047547,ENSG00000177352,,,,,,,,
A03_55355986,HPA051514,ENSG00000166123,,,,,,,,
A03_55365987,HPA055544,ENSG00000108592,,,,,,,,
A03_55375988,HPA059189,ENSG00000183011,,,,,,,,
A03_55395990,HPA068828,ENSG00000127418,,,,,,,,
A03_6717,HPA026486,ENSG00000108852,,,,,,,,
A03_6718,HPA023253,ENSG00000135365,,,,,,,,
A03_6719,HPA026776,ENSG00000111846,,,,,,,,
